depth[mm]	HF [V]	NF [V]	TGC [dB]
18,8	0,012	0,008	0,000
19,0	0,011	0,011	0,000
19,1	0,010	0,009	0,000
19,2	0,007	0,006	0,000
19,4	0,005	0,002	0,000
19,5	0,003	0,000	0,000
19,7	0,002	0,000	0,000
19,8	0,002	0,001	0,157
19,9	0,002	0,000	0,000
20,1	0,003	-0,002	0,000
20,2	0,004	-0,003	0,000
20,3	0,005	-0,001	0,000
20,5	0,006	0,004	0,000
20,6	0,007	0,007	0,000
20,7	0,008	0,005	0,000
20,9	0,008	-0,001	0,000
21,0	0,007	-0,005	0,000
21,2	0,007	-0,006	0,000
